"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"
"hydrlcondws"	0.780199046992704	0.0673931197928045	0.0520305905877684	0.0207791437035046	0.780199046992866	0.0673931197928184	0.0520305905877791	0.0207791437035089	0.608710552928576	0.00454183259540918	0.00270718235691309	0.000431772813051074	5.0762097752817	0.0758407646074647	0.064296853849263	0.0147485089545568
"runoffws"	-0.480295021809609	0.604330081990656	-0.326624622398918	0.0514860286989607	-0.48029502180958	0.604330081990619	-0.326624622398899	0.0514860286989576	0.230683307975065	0.365214847998789	0.106683643957223	0.00265081115118988	1.92373346790879	6.09845755791152	2.53378670487851	0.0905464883810535
"fe2o3ws"	-0.0761311312177447	0.0637124677986632	0.10117008446169	0.270063321552225	-0.0761311312177582	0.0637124677986746	0.101170084461708	0.270063321552273	0.00579594914049552	0.00405927855299714	0.0102353859899891	0.0729341976478464	0.048334062129317	0.0677829450440741	0.243095229772247	2.49128855404682
"bfiws"	-0.324714728408576	0.582618625015076	-0.322460756378356	0.00648279982694294	-0.324714728408546	0.582618625015022	-0.322460756378326	0.00648279982694235	0.105439654845436	0.339444462214395	0.103980939404082	4.20266935962037e-05	0.879291157437601	5.6681365980213	2.46959620097435	0.00143554908530351
"p2o5ws"	0.483666351824159	0.127023300246647	0.0317157693315403	0.205828240169295	0.483666351824069	0.127023300246624	0.0317157693315344	0.205828240169257	0.233933139886804	0.0161349188055439	0.0010058900242911	0.0423652644511733	1.95083473704128	0.269425293290126	0.0238903610298622	1.44711399892349
"al2o3ws"	-0.437292737563142	-0.119101358851349	0.180587680006856	0.541972599086227	-0.437292737563091	-0.119101358851336	0.180587680006835	0.541972599086164	0.191224938325422	0.0141851336802346	0.0326119101702509	0.293734298160212	1.59467894311284	0.236867247255261	0.774548200127246	10.0333851408256
"omws"	0.357058315290284	0.547119167560464	-0.207701651572585	0.283989859366687	0.357058315290346	0.547119167560558	-0.207701651572621	0.283989859366736	0.12749064051798	0.299339383512158	0.0431399760659946	0.0806502402231384	1.06318057497235	4.99845100976152	1.02459471527399	2.75485337233933
"compstrgthws"	-0.923893323088204	-0.107249766678106	0.052393473358073	-0.154991644156269	-0.923893323088135	-0.107249766678098	0.0523934733580691	-0.154991644156258	0.853578872446837	0.0115025124525065	0.0027450760505227	0.02402240975826	7.11823607368841	0.192072103271097	0.0651968468895187	0.820558207281151
"kffactws"	-0.668573266064489	-0.375460948401965	0.242167581738386	-0.0265990169214256	-0.668573266064442	-0.375460948401939	0.242167581738369	-0.0265990169214237	0.446990212096075	0.140970923774884	0.0586451376450098	0.000707507701186186	3.72757803061257	2.35397109468993	1.39284959304802	0.0241670696972155
"wtdepws"	-0.847177569781636	0.0110853814626055	-0.048192441132231	-0.119261273974102	-0.847177569781649	0.0110853814626057	-0.0481924411322317	-0.119261273974103	0.717709834741141	0.000122885682171482	0.00232251138228362	0.0142232514699262	5.98518567059849	0.00205197877716122	0.0551607373358746	0.485838258747397
"caows"	0.239875462483662	0.224450896450383	-0.114598360428723	-0.800921148477771	0.239875462483642	0.224450896450364	-0.114598360428714	-0.800921148477704	0.0575402375017413	0.050378204917372	0.0131327842129494	0.641474686078845	0.479844344201492	0.841229063428976	0.311909799876667	21.9115119474688
"mgows"	0.16684863321791	0.134253893355182	-0.113202364674734	-0.608554880701453	0.166848633217927	0.134253893355196	-0.113202364674745	-0.608554880701516	0.0278384664066904	0.0180241078810284	0.012814775367954	0.370339042825636	0.232152859224544	0.3009714898886	0.304356940285385	12.6500523521635
"pctalluvcoastws"	0.812113808497919	0.100449990992748	-0.0162620094051054	0.109481439307799	0.812113808497902	0.100449990992746	-0.0162620094051051	0.109481439307796	0.659528837952968	0.0100902006904428	0.000264452949891726	0.0119861855529067	5.4999978531527	0.168488934660384	0.00628088190135481	0.409424492730145
"permws"	0.619285972453628	0.434847682077469	-0.310934808575941	0.0705385577853579	0.619285972453604	0.434847682077452	-0.310934808575929	0.0705385577853551	0.383515115677805	0.189092506608133	0.0966804551841496	0.00497568813443788	3.19824121629999	3.15751846450826	2.2962062681831	0.169959707484395
"pctsilicicws"	-0.676646748138005	-0.45213449062132	0.279853140834228	-0.0418566776283574	-0.676646748137616	-0.45213449062106	0.279853140834067	-0.0418566776283333	0.457850821765211	0.204425597609165	0.0783177804346921	0.00175198146208222	3.81814773193469	3.41355461751546	1.86008410905789	0.0598442363686316
"elevws"	-0.90487791639705	0.285655693899814	-0.159329231059931	-0.0796528118472613	-0.904877916397045	0.285655693899813	-0.15932923105993	-0.0796528118472609	0.818804043583058	0.0815991754573835	0.0253858038701485	0.00634457043517515	6.82823892255728	1.36256538038953	0.602924777903347	0.216718030982112
"pctcoastcrsws"	0.2421682855483	0.0632016852209924	-0.0714191351832266	0.190843358973731	0.24216828554842	0.0632016852210238	-0.0714191351832621	0.190843358973826	0.0586454785254612	0.00399445301477738	0.00510069287032506	0.0364211876644126	0.48906126226101	0.0667004704522452	0.121143853931967	1.2440760422318
"pctnoncarbresidws"	0.0311466704881026	0.0230182012566828	-0.126954010325099	-0.404409918654701	0.0311466704881451	0.0230182012567142	-0.126954010325273	-0.404409918655253	0.00097011508249709	0.000529837589094599	0.0161173207376694	0.163547382306748	0.00809006454909673	0.00884737317602454	0.382793945617641	5.58645648713989
"sandws"	0.625185454276714	0.464152338036423	-0.315025866460287	0.0182804748601104	0.625185454276691	0.464152338036406	-0.315025866460275	0.0182804748601097	0.390856852239153	0.215437392904662	0.0992412965390472	0.000334175761111104	3.2594660377212	3.59743259129619	2.35702745442738	0.0114147858692584
"sws"	0.451755151345929	0.179284547278628	0.0466346178993175	0.276939927721452	0.451755151345895	0.179284547278614	0.0466346178993139	0.276939927721431	0.204082716767552	0.0321429488928975	0.00217478758661501	0.0766957235663514	1.70190360071454	0.536731764011169	0.0516522277314564	2.61977487142384
"nws"	0.879215880205302	0.110823021143605	-0.0202246306529452	0.331402014398237	0.879215880205428	0.110823021143621	-0.0202246306529481	0.331402014398285	0.773020564005406	0.0122817420153995	0.000409035685048167	0.109827295147241	6.44643751388838	0.20508389192969	0.00971478984174052	3.75148410685699
"precip9120ws"	-0.0184392664218806	0.702815650739157	-0.306906568862762	0.23590028183512	-0.0184392664218805	0.702815650739153	-0.30690656886276	0.235900281835119	0.000340006546177091	0.493949838923899	0.0941916420111121	0.0556489429698885	0.00283541092734624	8.24810969466468	2.2370957851243	1.90085829606479
"tmax9120ws"	0.737723902659259	-0.460925519730478	0.23211561744854	-0.132785709114559	0.737723902659264	-0.46092551973048	0.232115617448541	-0.13278570911456	0.544236556554815	0.212452334738814	0.0538776598635176	0.0176320445450566	4.53854285121039	3.54758727248677	1.27961975414776	0.602275916870326
"tmean9120ws"	0.810079291438853	-0.427446435357004	0.218487926321267	-0.0680911144914158	0.81007929143885	-0.427446435357002	0.218487926321266	-0.0680911144914156	0.65622845841807	0.182710455099408	0.0477369739481669	0.00463639987268306	5.47247505306864	3.05094922048187	1.13377557640872	0.158370288661765
"tmin9120ws"	0.846763999473655	-0.374561154027102	0.194971078562909	0.00017849160100776	0.846763999473661	-0.374561154027105	0.194971078562911	0.000178491601007761	0.717009270804631	0.140296058106117	0.0380137214759847	3.18592516303137e-08	5.97934346943151	2.34270200291847	0.902843758481033	1.08824929164719e-06
"wsareasqkmws"	0.0749406869028475	0.51935399072113	0.671186570065713	-0.036467296296197	0.0749406869028471	0.519353990721127	0.671186570065708	-0.0364672962961968	0.00561610655347055	0.26972856767796	0.45049141183657	0.00132986369915461	0.0468343038388364	4.5040014970738	10.6993828447687	0.0454255249114308
