"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"dist"
"11747981"	-4.40972586219147	4.31730073276356	-0.759108276603269	-0.142350206669066	0.326168217557894	0.312638933233106	0.00966553527416519	0.000339887083699127	0.00240765895374331	0.00462103479514934	0.000203199539913218	1.02766622297099e-05	7.72130613130468
"11747951"	-4.44877020713023	4.35838110080616	-0.994322896551237	-0.291474139549924	0.325474333502694	0.312382865481569	0.0162589194437635	0.00139713012434882	0.00245048321927577	0.00470939415846293	0.000348634328048242	4.30859761098171e-05	7.79797072605099
"11747939"	-4.8667986867802	3.08725294739786	-2.40703725649153	0.893711238010287	0.355651025773178	0.143113871078641	0.0869967294436806	0.0119931078535744	0.00293263862268777	0.00236297465387706	0.00204305892200127	0.000405070220641372	8.16077397121537
"11747931"	-4.2277018588186	4.33019694363432	-0.973224143389092	-0.493208390486064	0.307979570949826	0.32309370917213	0.0163207064041011	0.00419154483812212	0.00221299529868441	0.00464868301761283	0.000333995807637385	0.00012336637140188	7.61804262071332
"11747899"	-4.14421690126657	4.28705339615078	-1.26290445055454	-0.786824799237325	0.291433758053282	0.311869344171382	0.0270642432959636	0.010505360995947	0.00212645766379717	0.00455651097808811	0.000562414170496703	0.000313972750601523	7.67666429856994
"11747889"	-4.00258343515412	4.09818615258339	-1.6481511125512	-0.955684804293232	0.276183630919552	0.289534626864749	0.0468286031488874	0.0157451393541493	0.00198359302691305	0.00416387802049501	0.000957876068481138	0.000463196468683354	7.61625412336829
"11748421"	-4.04655136034717	4.08092919309234	-1.83085984691629	-0.925422327808771	0.278858388686663	0.28361664719622	0.0570852358756559	0.0145845672296769	0.00202741147156134	0.0041288846924632	0.00118202174855109	0.000434325997392927	7.66290074291408
"11747897"	-4.47178574600061	3.02502172589643	-2.27136612637094	0.422114450759973	0.34984288023125	0.160091421753419	0.0902579270213295	0.00311724908105244	0.00247590376412726	0.00226867158559803	0.00181923815756475	9.03641814110633e-05	7.56039467151506
"11748423"	-4.10144846587446	3.69394853629646	-2.00527180785264	-0.569642901360518	0.297639218192427	0.241433382079349	0.0711479077305634	0.00574144245668973	0.00208279393166082	0.00338295574600881	0.00141795276330868	0.000164566433818845	7.51782447261359
"11747895"	-4.11417740408834	3.71004738225772	-2.02568344175061	-0.63232199524732	0.296274003001961	0.240927530112025	0.0718241793205023	0.0069984859332627	0.00209574198911213	0.00341250697525751	0.00144696632287953	0.000202774087820594	7.55851086950886
"11747953"	-4.67436290473861	2.56928305804409	-2.71759889060119	0.838423621501353	0.339063871190561	0.102437876912306	0.114606005476082	0.0109084657797209	0.00270530751614823	0.00163658490710282	0.00260426983295899	0.000356502754274404	8.02752503612456
"11747987"	-3.90441334459216	2.45434345081594	-1.84798894483728	0.45058393161787	0.295218533324421	0.116654826874521	0.0661349118546054	0.00393172778629995	0.00188748436316077	0.00149343150040417	0.00120424265121405	0.000102964444040666	7.1859464963828
