"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"dist"
"8075676"	0.24288509842594	0.985380315078293	0.772786773431035	-1.92988791368612	0.00644199964518091	0.106029501500458	0.0652136211217112	0.406708386509475	0.000137201560595967	0.00428586965923104	0.00400937910266637	0.0290796521671852	3.02615049506681
"8075682"	0.253488207596956	0.761656369959745	0.848053262290418	-1.86066117082643	0.00883706416832623	0.0797830518030631	0.0989096683694534	0.476131677845972	0.000149442055035463	0.00256064487468292	0.00482840865849026	0.0270308451256753	2.69652068598441
"8075678"	-0.270401408187786	-0.279448067066211	0.237628525388025	-0.824814145549526	0.00865816240575247	0.00924719572195505	0.00668659433216325	0.0805601063460392	0.00017004944074405	0.000344693754819373	0.000379100980564337	0.00531174522157999	2.90600317901358
"8075490"	0.557625020965878	0.803344227266202	1.08128656217459	-2.29816840213122	0.0235859210705773	0.0489521408953	0.0886849544392576	0.400619453373802	0.000723172353886609	0.00284862019910867	0.00784945263738497	0.0412371586178645	3.63091290976193
"8075758"	0.0924278545845373	1.13687218188649	0.868371829184757	-1.90906315270324	0.000937135113921648	0.141781558485963	0.0827195033623575	0.399794722345601	1.98684073190601e-05	0.00570498457760819	0.00506254869918659	0.028455460974121	3.01926871474468
"8075668"	-0.152264971752954	0.369814893718543	0.324585194269157	-1.28530658216888	0.00280065635326702	0.0165207061315393	0.0127267414843227	0.199559898274446	5.39209236010928e-05	0.000603670551447615	0.000707318754585033	0.0128984789167694	2.87720028511303
"8075514"	0.422442589826358	0.976540549447285	0.715506111156067	-2.13559249669401	0.0155247781173118	0.0829603492901041	0.0445365635620945	0.396758995104278	0.000415042626646542	0.00420931820743249	0.00343703897266134	0.0356091664372626	3.39043166511163
"8075494"	0.13691331478255	0.261799210244408	0.491053621511216	-1.53105224943336	0.00236355855315204	0.0086419482131226	0.0304041475777134	0.29556637083222	4.35962044329518e-05	0.000302529590269482	0.0016188835064004	0.0183022742485581	2.81619356873115
"8075474"	-3.49301579240713	-0.571428794123177	-2.21210345652929	5.45092261163501	0.193949713651893	0.0051905369328535	0.0777855475535948	0.472311018135415	0.0283764725843833	0.00144130348294404	0.0328525156234702	0.231987757827224	7.93151185646089
"8075476"	-3.08719507712385	-0.22405654159432	-1.83509725306652	4.76964473980048	0.190741274753259	0.0010046893324369	0.0673960905253656	0.45529051160969	0.0221659044129826	0.000221588109016574	0.0226087177465732	0.177622140667762	7.06873552022201
"8075478"	-3.0522536787499	-0.0500738872609759	-1.72336342051147	4.65020893146653	0.185569355083817	4.99444944154508e-05	0.0591587171502555	0.43073477805659	0.0216669889429018	1.10676090395445e-05	0.0199393732375967	0.168837909736098	7.08545096156939
"8075824"	-0.133705141377525	0.68477223617186	0.956353066743474	-1.51761255362717	0.00279656496003256	0.0733535242318797	0.143075478294636	0.360288597272623	4.15770359607345e-05	0.00206977664641656	0.00614036618685138	0.0179823669482888	2.52834102528747
"8075822"	-0.122800502270174	0.964838509708217	0.862074572914279	-1.63010812328677	0.00185705136010576	0.114639131501695	0.0915194286485455	0.327232516439761	3.50717628843883e-05	0.00410904079834974	0.00498938977987546	0.0207471218775972	2.84962810582819
"8075820"	-0.457570007901852	0.0419042765564027	0.396519559748644	-0.863121484462784	0.0357184017512373	0.00029956675285401	0.0268229257819839	0.127092748358578	0.000486936590485672	7.75082425428311e-06	0.00105556988726735	0.00581659584809785	2.42109338630204
"8075708"	-0.533613566539445	-0.423166753920525	-0.421659198773819	-0.0156279958408358	0.0240941656400657	0.0151523937268709	0.0150446235436839	2.06663957001187e-05	0.000662233330235713	0.000790413364983544	0.00119366076797024	1.90691620259659e-06	3.43772329199448
"8075712"	-0.66904560682752	-0.0471770547871015	-0.720691703315185	0.11572877787423	0.044247475264039	0.000220008114055075	0.0513423914256033	0.00132391402296816	0.00104104321181682	9.82410158745624e-06	0.0034870390159452	0.000104570159075957	3.18061773154872
"8075716"	-1.31484981459967	-1.20605510655073	-1.58506160725352	1.46943592950029	0.10987986686266	0.0924485554073599	0.159682792612712	0.137235710447583	0.00402077350021429	0.00642045045075946	0.0168674742313511	0.016858787799232	3.96658794076301
"8075726"	-3.03917814885165	-1.48923263414741	-2.59523844083708	5.31502451519937	0.174826793016508	0.0419779053479588	0.127482392578093	0.534695118175457	0.0214817484208548	0.00978940472579229	0.0452180981851945	0.220564482326883	7.26862331043221
