"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"coord.Dim.6"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"cos2.Dim.6"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"contrib.Dim.6"	"dist"
"6170692"	-1.49626915424751	1.5076598593321	1.83667366620346	0.998464363786372	0.732073657530633	1.05993467712517	0.13700507855611	0.139098986060317	0.206433995567662	0.0610073777298252	0.0327964456828497	0.0687504304773752	0.00373426602110828	0.00537929207396747	0.00944457810483771	0.0037058693133803	0.00270367474119122	0.00650092211676096	4.04241959096854
"6170696"	-1.45483698662042	1.40579482372469	1.75547087809599	0.906246374034134	0.576155727425185	1.13671830119489	0.127751846154092	0.119284055808746	0.186005495697709	0.0495713882350771	0.0200363350055368	0.0779909520574076	0.00353032326137683	0.00467694498009297	0.00862791429763745	0.00305293477400348	0.00167465230324933	0.00747691538274423	4.07034050049025
"6170620"	-1.57239099697074	2.18548258614914	1.76822875829864	1.33292912638095	-0.292149969811795	-0.26242665779901	0.130295274174034	0.251711042200185	0.164772399540582	0.0936314357792085	0.00449799800614293	0.00362930499018114	0.00412388839994706	0.0113035037291157	0.00875377668507046	0.00660448682015104	0.000430582699026164	0.000398503977155396	4.35608370560067
"6170622"	-2.27312953481801	1.64992038160478	1.5294328963154	0.23852437127937	-0.353749128332453	0.165034497483817	0.29262421331608	0.154165737360387	0.132471588413509	0.00322201389585484	0.00708684030294082	0.00154245094100425	0.00861854942497319	0.00644235060153659	0.0065490667706619	0.000211490313691623	0.000631299784350842	0.000157603635593675	4.20212585210759
"6170628"	-1.49250853819574	2.31490598368272	1.86711892060953	1.46812524743859	-0.234337694851883	-0.164978533148553	0.112637450507831	0.270966672602257	0.176275974064866	0.108987170569657	0.00277672883564101	0.00137627125463471	0.00371551873464962	0.0126819225380309	0.00976028555424599	0.00801218883609071	0.000277031524029632	0.000157496764759476	4.4470848757231
"6178200"	0.224318551649403	-0.322413158247412	0.64835726215556	2.95907522166088	0.238146384153328	2.026873665514	0.00229866243139011	0.00474865183830652	0.0192031985753951	0.399997082999308	0.00259079349091107	0.187671434523117	8.39298006004474e-05	0.000246004978828996	0.00117692103057998	0.032548949202015	0.000286109888388944	0.0237722408371693	4.67872579394707
"6178170"	0.855297352069321	4.28713078727053	-2.10762115248829	0.407329410909816	2.48522493256071	-0.0446647536762572	0.0178072391308919	0.447399816112017	0.108130306248007	0.00403881419588985	0.150346644480649	4.85615144495896e-05	0.00122016921052081	0.0434962530439317	0.0124366571274417	0.000616760426461228	0.0311584817706992	1.15437429549759e-05	6.40942148877396
"6178176"	0.762891271040169	4.36128202630921	-2.09511064631385	0.473831890304056	2.50503306051089	0.0207487264093119	0.0139918631512958	0.457276202626357	0.1055271440716	0.00539757680316913	0.150861069117574	1.03498283142407e-05	0.000970758268624763	0.0450139085609916	0.0122894512597206	0.000834590688890894	0.0316571495591616	2.49114868676928e-06	6.4494825393994
"6170614"	-3.00096296595046	1.23394605109242	0.977469789489229	0.173103713024615	-0.21298859654471	1.107843892965	0.405199514110347	0.0685077949179749	0.042988701898641	0.00134821889981823	0.00204108150626122	0.0552210652183232	0.0150212847483224	0.00360338549566582	0.00267500902283491	0.000111387826261785	0.000228853515341584	0.00710188927954383	4.71439728517918
"7717752"	-1.20155590024368	-1.39060120588317	-2.77731235077753	2.45247229070605	0.735653875648641	1.83975529699834	0.0319003782301305	0.0427280501688214	0.170434426088796	0.13289727926913	0.0119579002465715	0.074787324309023	0.00240809584134398	0.00457639586413954	0.021595736261372	0.022358011758196	0.00273018413589385	0.0195856002135817	6.7273816181103
