"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"pctnoncarbresidws"	13777	93	0	100	22.7310227190245	0	37.4148725813608	2.885643662016	1.27497211772478	1.6255539009756
"pctsallakews"	13777	93	0	0	0	0	0	NA	NA	NA
"pctsilicicws"	13777	93	0	100	12.2462575306671	0	28.9852092245679	6.85634609190677	2.31652536862783	5.36628978349632
"permws"	13803	67	2.03	28.15	9.71731062940638	8.41	4.85588517209816	4.50420752681507	1.25390688504083	1.5722824763528
"precip9120ws"	13870	0	987.372705344212	1501.9034126662	1177.31748958192	1184.59226918807	55.1998361968557	6.53977162478223	-0.532214466624494	0.283252238484394
"rckdepws"	13803	67	73.15	176.82	139.324429585625	149.503971129769	20.9645425424472	3.88070322014372	-1.45003665978722	2.10260631472688
"runoffws"	13870	0	349	716.326	434.879624051911	434	58.5616254344323	8.39671886789615	1.85924400320961	3.45678826347088
"sandws"	13803	67	9.46	77.04	38.1080225866368	36.891963099631	11.5468076718179	3.98916492462627	0.904450726754539	0.818031117126813
"sio2ws"	13857	13	3.9206	81.05	61.507311928989	65.2208	8.67517183179822	11.0701504043145	-2.26123710131582	5.11319322836719
"sws"	13857	13	0.0035	2.1036	0.172769632676626	0.1244	0.182028972883235	11.6531459164439	2.34086893476582	5.47966736975165
"tmax9120ws"	13870	0	13.4775629775913	20.1035852987858	18.3449203296743	18.6865591743348	1.26642355645014	6.97143467921484	-1.99733521672191	3.98934796795756
"tmean9120ws"	13870	0	8.40403881249681	14.9899160895632	13.0741169309958	13.5518241670593	1.43813430228219	4.85097788585302	-1.4830795997962	2.19952509933164
"tmin9120ws"	13870	0	2.5752324461429	10.962971150709	7.80342883286295	8.10167741212643	1.71998417694005	3.35148904637069	-0.857092695888285	0.734607889345048
"wetindexws"	13866	4	596.4484	2050.5	849.944033491995	806.2389	138.880227207523	5.86598584554834	1.21724900937605	1.48169515082699
"wsareasqkmws"	13870	0	9e-04	71228.6568	574.918905724585	5.51835	4079.14456052267	174.170025314943	11.8140751932461	139.572372671673
"wtdepws"	13803	67	1.37	182.88	117.22080016376	134.64	48.161154388172	2.11502018093371	-0.679595157586387	0.461849578214866
