"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"
"k2ows"	0.318037884092425	-0.900822292627455	0.0893183952231886	-0.0806017619467625	0.318037884092425	-0.900822292627453	0.0893183952231885	-0.0806017619467624	0.101148095717986	0.811480802894581	0.0079777757252457	0.00649664402892255	1.15824755191348	12.3056520022717	0.162481000620778	0.185178905361898
"clayws"	0.608530849598161	0.171684321781555	-0.338195787910514	-0.581841419702744	0.608530849598161	0.171684321781555	-0.338195787910515	-0.581841419702744	0.37030979491266	0.0294755063455924	0.114376390960414	0.338539437681705	4.24042005301836	0.446979549467827	2.32947015442314	9.6496532998634
"hydrlcondws"	-0.468010646816939	0.678524433731427	0.0900775080024386	-0.234348510725984	-0.468010646816941	0.67852443373143	0.090077508002439	-0.234348510725985	0.219033965534012	0.460395407170558	0.00811395744792946	0.0549192244794871	2.50815947215658	6.98163855987238	0.165254573522544	1.56540543504618
"runoffws"	0.233168801492257	0.0594615896565439	0.104642152841072	0.444790024367585	0.233168801492257	0.059461589656544	0.104642152841072	0.444790024367586	0.0543676899893356	0.00353568064448322	0.0109499801512143	0.197838165776918	0.622564798539662	0.0536166172347889	0.223015009824955	5.63913534653845
"pctglaclakecrsws"	-0.501102337025478	-0.0238279101964278	0.319900007131237	0.565290850896321	-0.501102337025482	-0.0238279101964279	0.319900007131239	0.565290850896325	0.251103552172399	0.000567769304329034	0.102336014562567	0.319553746107091	2.87538853317965	0.00860990358825842	2.08424736647457	9.10848934387713
"fe2o3ws"	0.157670056942454	0.890926803494859	-0.106940341836819	0.320383335190309	0.157670056942455	0.890926803494861	-0.106940341836819	0.32038333519031	0.0248598468562368	0.793750569185571	0.0114362367121758	0.102645481467666	0.284670280323033	12.03678293579	0.232918453504553	2.92578411467615
"bfiws"	-0.250443046958037	-0.445050701920264	0.117998359407879	0.462935707204758	-0.250443046958037	-0.445050701920264	0.117998359407879	0.462935707204759	0.0627217197696257	0.19807012727972	0.013923612822951	0.21430946900517	0.718226852016293	3.00362257450288	0.283578107688619	6.1086297328882
"p2o5ws"	-0.388994658408274	0.786637974290618	-0.0574482282106746	0.0855096703495481	-0.388994658408273	0.786637974290615	-0.0574482282106743	0.0855096703495477	0.151316844270169	0.618799302596042	0.00330029892454572	0.00731190372328832	1.7327302426716	9.38374493867673	0.0672162128989098	0.208416887482549
"al2o3ws"	0.824418326423457	-0.104922489432276	-0.0269214605987047	0.387417832514465	0.824418326423456	-0.104922489432276	-0.0269214605987047	0.387417832514464	0.679665576942852	0.0110087287886661	0.00072476504076761	0.150092576950206	7.78285527795592	0.166941207946621	0.0147610754042918	4.27820563645613
"omws"	0.247113631011518	0.144181960889728	-0.0588224699875741	-0.00533726705087206	0.247113631011518	0.144181960889728	-0.0588224699875742	-0.00533726705087206	0.0610651466316966	0.020788437846007	0.00346008297543906	2.84864195723246e-05	0.699257421420963	0.315245019834497	0.0704704874444113	0.000811970606762281
"pctglaclakefinews"	-0.377643107257975	0.0616574361138247	0.0951065370509243	-0.0764532698096447	-0.377643107257967	0.0616574361138235	0.0951065370509225	-0.0764532698096432	0.142614316459453	0.00380163942813022	0.00904525338981848	0.0058451024645861	1.63307753580979	0.0576497332701102	0.184222002756412	0.166607508630843
"compstrgthws"	0.780050699083176	-0.397094013128373	-0.0238855673629527	0.246765246109563	0.780050699083172	-0.397094013128371	-0.0238855673629526	0.246765246109562	0.608479093140146	0.157683655262395	0.000570520328250145	0.0608930866875126	6.96769835375942	2.39118434001611	0.0116196189265178	1.73568308294259
"kffactws"	0.463837976246253	-0.103088504801122	-0.137463794832416	0.26059155336685	0.463837976246253	-0.103088504801122	-0.137463794832417	0.26059155336685	0.21514566820822	0.0106272398221309	0.0188962948897287	0.0679079576861478	2.46363455226817	0.161156141376785	0.38485525382626	1.93563341529864
"wtdepws"	0.0851938413919965	-0.0679199563764672	0.144753634494261	0.574519143434003	0.0851938413919966	-0.0679199563764673	0.144753634494262	0.574519143434004	0.00725799061112468	0.00461312047418122	0.0209536146992983	0.330072246172142	0.0831113012802995	0.0699553889597102	0.426756078412992	9.40830634468929
"caows"	0.309966446314571	0.790319591956312	-0.102353655369358	0.373103426456329	0.309966446314571	0.790319591956312	-0.102353655369358	0.373103426456329	0.0960791978408841	0.624605057429991	0.0104762707674694	0.139206166833454	1.10020356685001	9.47178595990875	0.213367110795811	3.96790180885436
"mgows"	-0.0588138517466366	0.94516787482004	-0.020607565558937	0.173223312308366	-0.0588138517466365	0.945167874820039	-0.0206075655589369	0.173223312308366	0.00345906915727533	0.893342311591829	0.000424671758265884	0.0300063159270816	0.0396098251269514	13.547035944832	0.00864916420250721	0.855293396495635
