"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"pctsilicicws"	67263	90	0	100	44.9465954536669	18.53	46.8218661263488	1.13514056936647	0.191938822259646	0.0368405114904199
"permws"	67329	24	0.52	29.7897987140062	7.73925221943084	6.62	4.74015115587043	3.21089803764847	1.07898785092336	1.16421478244021
"precip9120ws"	67353	0	993.875355855718	2555.43807643312	1298.15819157312	1231.8026126145	169.512483739471	10.6948692170659	2.48778530911876	6.18907574426714
"rckdepws"	67329	24	47.2691724909142	152.4	143.312859084962	148.280796150481	14.4202611531709	11.0663463848976	-2.61496649662177	6.83804977845433
"runoffws"	67353	0	319	1143	447.248283975472	387	136.988223366826	6.32959324839052	1.92204842860119	3.6942701618883
"sandws"	67329	24	12.99	94.09	41.7795367824518	39.3360196078431	15.3176139386512	2.68694897627033	0.603627794627123	0.364366514446404
"sio2ws"	67343	10	5.5086	75.8397	61.786302962446	62.8061	8.63944083405349	22.2915443721594	-3.73835164779043	13.9752730425374
"sws"	67343	10	5e-04	0.9245	0.10334689277282	0.035	0.151581890959587	5.85918945330509	2.05767369422761	4.23402103191631
"tmax9120ws"	67353	0	12.6152496047129	23.9437007228381	21.2262664315897	21.5449698464246	1.77549744395205	5.47073133489565	-1.56736578619441	2.45663550773281
"tmean9120ws"	67353	0	8.16887105263366	17.8407021931274	15.170181905517	15.4253457516554	1.72886886395961	4.04617052780031	-1.18159833480021	1.39617462480264
"tmin9120ws"	67353	0	3.67072875306072	14.675570467722	9.11426322207734	9.3364962842831	1.76104768830742	3.12678094104888	-0.692183137028742	0.47911749518695
"wetindexws"	67349	4	503.1	2031	807.278202040119	783.0203	141.186402277487	3.37259902385685	0.441948115912047	0.195318137158209
"wsareasqkmws"	67353	0	9e-04	25107.8499	378.390988739922	5.1309	2084.39937184039	84.8183709002664	8.65748787809726	74.9520963594009
"wtdepws"	67329	24	11.58	182.88	131.737117591782	152.4	50.01337900373	2.59751106081175	-0.967797426274619	0.936631858303776
