"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"
"fe2o3ws"	0.846642421370987	0.19772661977199	-0.000413224734380586	-0.0497012781833374	0.0821447204250752	0.846642421371037	0.197726619772002	-0.000413224734380611	-0.0497012781833404	0.0821447204250801	0.716803389665013	0.0390958161664619	1.70754681103926e-07	0.00247021705305779	0.00674775509371458	5.50756299473339	0.784320074197213	3.96496151674972e-06	0.068361853925692	0.242980002247254
"bfiws"	0.347757099613063	-0.329808673475518	0.399555724975964	-0.0128406091230056	0.166553373357346	0.347757099613064	-0.329808673475519	0.399555724975965	-0.0128406091230056	0.166553373357347	0.120935000331291	0.108773761099682	0.159644777361069	0.000164881242649816	0.0277400261767118	0.929204775250897	2.1821630225898	3.7069870910393	0.00456299474216723	0.998890968795756
"p2o5ws"	-0.428623588712825	0.404736928262471	-0.296747411874968	-0.0734599960334146	-0.26564436973408	-0.428623588712845	0.404736928262489	-0.296747411874982	-0.0734599960334179	-0.265644369734092	0.183718180801078	0.163811981099355	0.0880590264545002	0.00539637101722978	0.070566931171423	1.41159970590074	3.28631136956437	2.04475009901512	0.149341502906417	2.54104555611186
"al2o3ws"	0.423513258981356	-0.480300848590462	0.449295184988175	-0.0286051349920082	-0.32398311823658	0.423513258981307	-0.480300848590407	0.449295184988123	-0.0286051349920049	-0.323983118236543	0.179363480532968	0.230688905156665	0.201866163253512	0.000818253747910824	0.104965060902274	1.37814034117774	4.62796168363983	4.68737702334046	0.0226447077270423	3.77968826368394
"omws"	0.425339362536656	0.465618199323519	-0.252298434942566	0.0568363124836347	0.186237191698916	0.425339362536648	0.465618199323511	-0.252298434942561	0.0568363124836336	0.186237191698913	0.180913573323082	0.216800307541269	0.0636545002744659	0.00323036641673725	0.0346842915718976	1.39005048810525	4.34933581058326	1.47807159560458	0.0893985558208843	1.24894711308292
"compstrgthws"	-0.789221024063967	-0.441210952875604	0.132122360994967	0.103405121397512	0.079997357210202	-0.78922102406401	-0.441210952875628	0.132122360994974	0.103405121397518	0.0799973572102064	0.622869824824645	0.19466710493742	0.0174563182748862	0.0106926191312355	0.00639957716061736	4.7858239054136	3.90531092990078	0.405339576851389	0.295912161333252	0.230442458458032
"kffactws"	-0.215106709537826	-0.295440863022802	0.181372026663702	0.0213225337807758	0.152550858191152	-0.215106709537824	-0.295440863022799	0.1813720266637	0.0213225337807755	0.152550858191151	0.0462708964881897	0.087285303543656	0.0328958120560979	0.000454650446832314	0.0232717643348565	0.355522701072359	1.75107268410024	0.763848042240751	0.0125821928867068	0.837993269146493
"pctglactilclayws"	-0.124933519501245	0.445956754460624	0.48033545982435	0.741016219758242	-0.0598571735942578	-0.124933519501203	0.445956754460474	0.480335459824189	0.741016219757994	-0.0598571735942377	0.0156083842949576	0.19887742684892	0.230722153964515	0.549105037944427	0.00358288123069071	0.119927111101871	3.98977623381164	5.35741951914545	15.1961700480456	0.129016017533962
"wtdepws"	-0.758061500908075	-0.324196914220278	0.135317648507111	-0.0465567058872045	-0.14375524676441	-0.758061500908099	-0.324196914220289	0.135317648507115	-0.046556705887206	-0.143755246764415	0.57465723915904	0.105103639189957	0.0183108659974951	0.0021675268630678	0.0206655709722978	4.41538222430457	2.10853493214921	0.42518236424948	0.0599850748377116	0.744146817949462
"caows"	-0.61544395724897	0.200452594626525	-0.226804353677307	0.0273050196407212	0.273480310188882	-0.615443957248917	0.200452594626507	-0.226804353677288	0.0273050196407189	0.273480310188858	0.378771264514207	0.0401812426924989	0.0514402148469722	0.000745564097580043	0.074791480060994	2.91029120395529	0.806095340630363	1.19445318256023	0.0206330629399269	2.69316739284577
"mgows"	-0.757885274756423	-0.235363905742556	0.0221815734266062	0.0856785710577768	0.189134672187999	-0.757885274756478	-0.235363905742573	0.0221815734266078	0.085678571057783	0.189134672188012	0.574390089692702	0.0553961681263986	0.000492022199679995	0.00734081753850357	0.0357719242236668	4.41332957983282	1.11132931744264	0.011424864457627	0.203152955988676	1.28811169159818
"pctalluvcoastws"	0.796291906189579	0.333615643777038	-0.0856962041922045	-0.052736338692204	0.112705278899075	0.796291906189615	0.333615643777053	-0.0856962041922083	-0.0527363386922063	0.11270527889908	0.63408079986309	0.111299397772777	0.00734383941295266	0.0027811214186591	0.0127024798917193	4.87196349703236	2.23283104124419	0.170525577801442	0.0769659556582878	0.457403766107445
"permws"	0.308296342568152	0.515871909730574	-0.227003757250542	-0.166503811209102	-0.315930988754324	0.308296342568147	0.515871909730567	-0.227003757250539	-0.1665038112091	-0.315930988754319	0.0950466348408965	0.266123827249062	0.0515307058058617	0.0277235191471556	0.0998123896552817	0.730291369113606	5.33883879146935	1.19655440266888	0.767232646175049	3.59414565672936
"pctsilicicws"	-0.326331708124575	-0.535221189723265	0.263886303453531	0.0786518885914833	-0.0430573919592034	-0.326331708124519	-0.535221189723172	0.263886303453485	0.0786518885914697	-0.0430573919591959	0.106492383727466	0.286461721928687	0.0696359811503448	0.00618611957900495	0.00185393900232783	0.818234846953934	5.7468471317044	1.61696290641842	0.171197345797411	0.0667585140088595
"elevws"	-0.935062294872965	-0.128910386415233	0.0236392407629868	-0.0403065632932982	-0.142206347584956	-0.935062294872966	-0.128910386415233	0.0236392407629868	-0.0403065632932982	-0.142206347584956	0.874341495293097	0.0166178877257247	0.000558813703850459	0.00162461904451666	0.0202226452934533	6.71800794146233	0.333379481797948	0.0129757779785327	0.0449604093165329	0.728197501332896
"pctcoastcrsws"	0.0560730472011297	0.0347253431393047	0.008943623424876	-0.0215576377488427	-0.0264762849459605	0.0560730472011224	0.0347253431393002	0.00894362342487484	-0.0215576377488399	-0.0264762849459571	0.00314418662241931	0.00120584945614214	7.998839996597e-05	0.000464731745310207	0.000700993664539512	0.0241583761179919	0.024191129068275	0.00185734836433883	0.0128611870961758	0.0252420901202895
"pctnoncarbresidws"	-0.0929382037679286	-0.401357693949463	0.311260919716759	-0.00107839811381505	-0.126975225912879	-0.0929382037679386	-0.401357693949506	0.311260919716792	-0.00107839811381516	-0.126975225912893	0.00863750971961088	0.161087998492466	0.0968833601429433	1.1629424918801e-06	0.0161227079956302	0.0663663559412102	3.2316642372148	2.24965308181706	3.21837729423287e-05	0.580562805051822
"sandws"	0.570725249831699	0.179872275865334	0.209922486306144	-0.25405292499762	-0.368445748549805	0.570725249831722	0.179872275865342	0.209922486306152	-0.25405292499763	-0.36844574854982	0.325727310795482	0.0323540356249776	0.0440674502569566	0.0645428886998514	0.135752269624438	2.50272767843588	0.649069954542379	1.02325595574027	1.7861877861218	4.88830526898374
"sws"	-0.341796135816307	0.361926371561312	-0.330133210397394	-0.0192249238646651	-0.107364889605845	-0.341796135816326	0.361926371561332	-0.330133210397412	-0.0192249238646662	-0.107364889605851	0.116824598458972	0.130990698431552	0.108987936607302	0.000369597697602212	0.0115272195200765	0.8976224786659	2.62786774614297	2.53072402843765	0.0102284063594648	0.415083799870239
"nws"	0.840873750091719	0.308255298521932	-0.0606541567850027	-0.0808158601681796	-0.0555823038603979	0.840873750091723	0.308255298521934	-0.060654156785003	-0.0808158601681801	-0.0555823038603982	0.707068663593318	0.0950213290668465	0.00367892673529973	0.00653120325472283	0.00308939250242963	5.43276617059871	1.90626883313329	0.0854254936620375	0.18074734052448	0.111245975403332
"precip9120ws"	0.263818205509105	-0.0457575458862675	0.188321390968398	-0.116776946898839	-0.268347103321779	0.263818205509104	-0.0457575458862674	0.188321390968398	-0.116776946898839	-0.268347103321778	0.0696000455580439	0.00209375300553387	0.0354649462962722	0.0136368553270142	0.0720101678611892	0.534772353024766	0.042003791547902	0.823503908351118	0.377392225803506	2.5930150851262
"tmax9120ws"	0.812965505157998	-0.184612026302525	0.203169405342073	-0.0385171321132293	0.288071204746435	0.812965505157993	-0.184612026302524	0.203169405342071	-0.0385171321132291	0.288071204746433	0.66091291257679	0.0340816002555238	0.0412778072670509	0.00148356946622794	0.0829850190040614	5.07812819042469	0.68372746401715	0.958479827619364	0.0410569423498075	2.98820864480989
"tmean9120ws"	0.894660741782915	-0.17231184544095	0.16468641566984	0.000775948376249769	0.245723053526031	0.894660741782918	-0.172311845440951	0.16468641566984	0.000775948376249772	0.245723053526032	0.800417842887561	0.0296913720792662	0.0271216155061795	6.02095882604657e-07	0.060379819034157	6.15001513019145	0.595652973532416	0.629769919388895	1.66626615766148e-05	2.1742177006803
"tmin9120ws"	0.908681739512178	-0.134736271842838	0.119851007622055	0.0273172101188416	0.191809365529459	0.90868173951218	-0.134736271842838	0.119851007622056	0.0273172101188417	0.19180936552946	0.825702503722881	0.0181538629501072	0.014364264028022	0.000746229968676947	0.0367908327048139	6.34428996811611	0.364193423546178	0.333541392360908	0.020651490544333	1.32480158054669
"wsareasqkmws"	-0.46950564395794	0.348871752441408	0.501551423115236	-0.441052080229998	0.157738571414324	-0.46950564395794	0.348871752441408	0.501551423115236	-0.441052080229999	0.157738571414325	0.22043554970836	0.121711499651539	0.251553830028919	0.194526937475209	0.024881456911832	1.69371782249103	2.44171325215231	5.84113565149488	5.38342250849279	0.895956710400478
