"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"dist"
"14362856"	-6.90139590921932	2.75631727918946	-1.90231530267872	-0.887899364574462	0.534613415268531	0.718514397871225	0.114609338604215	0.0545916969013654	0.0118929359863824	0.00431162812210411	0.0263849846580466	0.010988666703135	0.00605835753945339	0.00157300370570041	0.000742018039857251	8.14177702772171
"14363562"	-7.44556076465057	4.789808524903	-0.272948156059931	-3.01328771852129	-0.275331868602802	0.613509227880971	0.253899929301681	0.000824492300110383	0.100486443995763	0.000838956105843583	0.0307098564567046	0.0331835534829229	0.000124724056260988	0.0181168821132411	0.000196810254703919	9.50576038402623
"14362948"	-7.00435354344623	3.01469815905268	-1.87407753386214	-1.04123880408506	0.736907091590899	0.705457691533149	0.130684032380103	0.0505021612215065	0.0155896205447393	0.0078083689715582	0.0271780992071113	0.0131454136632122	0.005879833197664	0.00216323123323318	0.00140980884470798	8.33935712440503
"14362916"	-7.08157616832587	2.86282783235316	-1.93221247971175	-0.932436721363931	0.766118720817001	0.717883131821373	0.117323321295257	0.0534445780884122	0.0124460810444664	0.00840206500128048	0.0277806768835468	0.0118543309352896	0.00625028272487437	0.00173476636309495	0.00152379627881577	8.35801326971193
"14362900"	-7.05980001893024	2.86360103417643	-1.91896113621598	-0.937194174791325	0.749229156582786	0.717823412810558	0.118102160477283	0.0530353183048746	0.012650042431874	0.00808466745327675	0.0276100860368962	0.0118607351122732	0.00616484633155678	0.00175251367888811	0.00145735078269453	8.33265861602566
"14362872"	-6.92894441744922	2.79310675391645	-1.92395395647622	-0.896112568576668	0.587788896550449	0.716579637293911	0.116440852864372	0.0552483938064132	0.0119854803736465	0.00515671421661693	0.0265960485369696	0.0112839630561964	0.00619696789075367	0.00160223934671291	0.000896969167389369	8.18530461192159
"14362842"	-6.94961762932193	2.67714343667485	-1.92580044546548	-0.839560383706809	0.528832644239513	0.72373712867038	0.107399513424637	0.0555752721812542	0.010562407226623	0.00419078657800619	0.0267549893348122	0.0103664454516583	0.00620886851227875	0.00140639116697299	0.000726057925713062	8.16902986245915
"14363048"	-7.44558074645188	4.78980839116564	-0.272956067282044	-3.01328487572676	-0.275341374574958	0.613510260466174	0.253898979667755	0.000824537057640801	0.100485884167817	0.000839010946392913	0.0307100212902458	0.0331835516298716	0.000124731286454633	0.0181168479296158	0.000196823844885886	9.50577789533706
"14363552"	-7.70136747123856	4.46799247144271	-0.394065247783663	-2.84699286535177	-0.486988756292848	0.663183668914788	0.223214804730416	0.00173633853446232	0.0906297721379666	0.0026517708910972	0.0328562999307867	0.0288742991066417	0.000259971757506688	0.0161724200543798	0.000615704924901719	9.45694655671392
"14363560"	-7.60976829886175	4.57276840953582	-0.349850090906846	-2.90313999929423	-0.414243591120755	0.651900663490136	0.235394856730716	0.00137785189537618	0.0948799647728683	0.00193174657934276	0.0320793698812623	0.0302444018197067	0.000204905624330654	0.0168166007818941	0.000445498611773507	9.42498618090976
